trade_id,counterparty_id,notional,trade_date,product_type
1001,CP001,250000,2026-01-03,IR
1002,CP001,400000,2026-01-17,FX
1003,CP001,600000,2026-02-11,Credit
1004,CP002,150000,2026-01-05,FX
1005,CP002,220000,2026-02-09,Credit
1006,CP002,320000,2026-03-02,IR
1007,CP003,900000,2026-01-21,Credit
1008,CP003,120000,2026-02-14,FX
1009,CP004,450000,2026-01-28,IR
1010,CP004,700000,2026-03-08,Credit
1011,CP005,80000,2026-01-12,FX
1012,CP005,140000,2026-02-03,IR
1013,CP006,50000,2026-02-25,Credit
1014,CP006,30000,2026-03-10,FX
1015,CP007,650000,2026-01-30,Credit
1016,CP007,210000,2026-03-13,IR
1017,CP008,1000000,2026-02-18,FX
1018,CP008,350000,2026-03-21,Credit
1019,CP999,175000,2026-03-25,IR
